rank_2020,company,usa_primary,usa_uei,usa_link,alt_names_and_children
1,Lockheed Martin Corp.,F,T96MGA5KTWT3,https://www.usaspending.gov/recipient/34b311fd-7e8e-52eb-7610-2678a5b441f4-P/latest,
1,Lockheed Martin Corp.,F,SLBKLUGC4N84,https://www.usaspending.gov/recipient/3ea2667c-a457-1aa6-f2e9-0806505eb90e-P/latest,
1,Lockheed Martin Corp.,F,LBUBB3EAG447,https://www.usaspending.gov/recipient/43675c11-3040-4cc5-366c-21df1a3e4f3d-P/latest,
1,Lockheed Martin Corp.,F,C9KYVLRYE998,https://www.usaspending.gov/recipient/4e79f623-c6e3-c881-a96b-ede108e1a479-P/latest,
1,Lockheed Martin Corp.,F,MGJZVTTC2F21,https://www.usaspending.gov/recipient/5975b9b2-7241-4c5e-80fc-9b206f2971a0-P/latest,
1,Lockheed Martin Corp.,F,F92XQFEXBTY5,https://www.usaspending.gov/recipient/5ec8b068-a332-c54a-33cc-e66ed69feaf6-P/latest,
1,Lockheed Martin Corp.,F,D1VSC7TATMG6,https://www.usaspending.gov/recipient/5a5357e2-92e7-cdf9-be68-18a9f826ae7d-P/latest,
1,Lockheed Martin Corp.,F,LX4WN7ZGELJ3,https://www.usaspending.gov/recipient/74cd51e5-5175-26c3-5deb-b68e6f83bf16-P/latest,
1,Lockheed Martin Corp.,F,C7HLL8D7LKC4,https://www.usaspending.gov/recipient/7983c8f4-7401-5e18-2848-2eee44c6622b-P/latest,
1,Lockheed Martin Corp.,F,SMSBVM1N5L53,https://www.usaspending.gov/recipient/7bbe8e87-7d89-4ae6-70ee-01117118a833-P/latest,
1,Lockheed Martin Corp.,F,H5V3JVTM1C41,https://www.usaspending.gov/recipient/f7b098e6-adc2-c250-1259-31e3f4c89fb8-P/latest,
1,Lockheed Martin Corp.,F,JL3LM1YZK3N9,https://www.usaspending.gov/recipient/fd5e510f-5ca3-8915-a4f5-0569da9722d1-P/latest,
1,Lockheed Martin Corp.,F,HU32NX38AC43,https://www.usaspending.gov/recipient/d103d330-1a96-76ac-e0aa-fe7287f50fea-P/latest
1,Lockheed Martin Corp.,F,ZV9RJ9NBCWQ5,https://www.usaspending.gov/recipient/d60a2ff2-1835-babf-7ee2-beca583aab95-P/latest,
1,Lockheed Martin Corp.,F,L6Z9TTTKHEA8,https://www.usaspending.gov/recipient/d808f4ff-b669-75d1-4be7-a50ce30d9ce4-P/latest,
2,Raytheon Technologies,T,PPLZG8J3N9D4,https://www.usaspending.gov/recipient/bb947c1e-56f7-2f71-34d9-b0240c8b117c-P/latest,"PRATT & WHITNEY|UNITED TECHNOLOGIES CORP|UNITED TECHNOLOGIES CORPORATIO|UNITED TECHNOLOGIES CORPORATION|UNITED TECHNOLOGIES CORPORATION (0975)|UNITED TECHNOLOGIES CORPORATION PRATT AND WHITNEY DIVISION|AMI INDUSTRIES INC.|ARINC DIRECT LLC|ARINC INCORPORATED|ASCENSORES OTIS DEL URUGUAY S.A.|ATLANTIC INERTIAL SYSTEMS INC.|AUTOMATED LOGIC CORPORATION|B/E AEROSPACE INC.|BE AEROSPACE INC.|BLUE CANYON TECHNOLOGIES INC.|CARRIER CORPORATION|CARRIER GLOBAL CORPORATION|CARRIER GUAM INC|CARRIER SINGAPORE (PTE) LIMITED|CLAVERHAM LTD|CLOUD CAP TECHNOLOGY INC.|DATA LINK SOLUTIONS L.L.C.|DELAVAN INC.|DELAVAN INC|DETECTOR ELECTRONICS CORPORATION|ESSEFFE & VEA SRL|FORCEPOINT FEDERAL LLC|FREIGHTWATCH INTERNATIONAL (USA) INC|GOODRICH AEROSPACE CANADA LTD|GOODRICH CONTROL SYSTEMS LIMITED|GOODRICH CORPORATION|GOODRICH LIGHTING SYSTEMS INC.|GOODRICH LIGHTING SYSTEMS GMBH|GOODRICH LIMITED|GOODRICH LTD|HAMILTON SUNDSTRAND CORP|HAMILTON SUNDSTRAND CORPORATION|HAMILTON SUNDSTRAND SPACE SYSTEMS INTERNATIONAL INC|HS MARSTON AEROSPACE LTD|INTERTRADE LIMITED|KIDDE TECHNOLOGIES INC.|MACROLINK INC.|N2 IMAGING SYSTEMS|N2 IMAGING SYSTEMS LLC|NORESCO LLC|ONITY INC.|ONITY, INC.|OTIS (PTY) LTD|OTIS DOO|OTIS ELEVADORES LDA|OTIS SP Z O O|PRATT & WHITNEY BELGIUM ENGINE CENTER SPRL|RAYTHEON|RAYTHEON APPLIED SIGNAL TECHNOLOGY INC.|RAYTHEON BBN TECHNOLOGIES CORP.|RAYTHEON BLACKBIRD TECHNOLOGIES INC.|RAYTHEON CANADA LIMITED|RAYTHEON COMMAND AND CONTROL SOLUTIONS LLC|RAYTHEON COMPANY|RAYTHEON CYBER SOLUTIONS|RAYTHEON CYBER SOLUTIONS INC.|RAYTHEON ELECTRONIC SYSTEMS INC|RAYTHEON SI GOVERNMENT SOLUTIONS|RAYTHEON SOUTHEAST ASIA SYSTEMS COMPANY|RAYTHEON SYSTEMS INTERNATIONAL COMPANY|RAYTHEON SYSTEMS LIMITED|RAYTHEON TECHNOLOGIES CO|RAYTHEON/LOCKHEED MARTIN JAVELIN JOINT VENTURE|ROCKWELL COLLINS INC.|ROCKWELL COLLINS CONTROL TECHNOLOGIES INC.|ROCKWELL COLLINS NETWORK ENABLING SOFTWARE INC.|ROCKWELL COLLINS OPTRONICS INC.|ROCKWELL COLLINS SERVICES COMPANY|ROCKWELL COLLINS SIMULAT|ROCKWELL COLLINS SIMULATION & TRAINING SOLUTIONS LLC|ROCKWELL COLLINS, INC.|ROHR INC|ROSEMOUNT AEROSPACE INC.|SENSITECH INC.|SENSORS UNLIMITED INC|SIKORSKY AIRCRAFT CORPORATION|SIMMONDS PRECISION PRODU|SIMMONDS PRECISION PRODUCTS INC.|SKYLINE INDUSTRIES INC|SOLIPSYS CORPORATION|TEAC AEROSPACE TECHNOLOGIES INC.|TSI GROUP INC.|UNITED TECHNOLOGIES CORP|UNITED TECHNOLOGIES CORPORATIO|UNITED TECHNOLOGIES CORPORATION|UNIVERSAL PROPULSION COMPANY INC.|UTC FIRE & SECURITY AMERICAS CORPORATION INC.|WALBAR INC.|WINSLOW MARINE PRODUCTS CORPORATION|WOVEN ELECTRONICS LLC"
2,Raytheon Technologies,F,KLW3ZYL15493,https://www.usaspending.gov/recipient/51bc164d-0975-136d-3fb5-d67ade0957a7-P/latest,
2,Raytheon Technologies,F,E2QLYJCVCF48,https://www.usaspending.gov/recipient/4dce911f-9869-a3ed-853b-a972f3b0691d-P/latest,
2,Raytheon Technologies,F,JPJCZUSL7KQ1,https://www.usaspending.gov/recipient/71590b6c-cea4-ad51-3d27-299cabdffc40-P/latest,
2,Raytheon Technologies,F,WJ11TE8ERKT1,https://www.usaspending.gov/recipient/71cc2e92-f13f-c0a8-06b8-94b0fb345df3-P/latest,
