"TIV of arms exports from Italy, 1950-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 28 July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,,,,13,13,13,,,,,,,,,,,,,,,78
India,,,,,4,,,,,,,,,,,,,,,,,36,,,,,,,3,3,4,4,4,4,4,4,4,4,3,,,,,,,,3,3,,3,12,9,9,9,18,15,4,5,3,,12,306,12,6,11,6,3,3,,,3,3,532
Indonesia,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,8,5,5,,,,,8,,,24,30,,,,280
Iran,,,,,,,,,,,,,,,,,,5,,36,36,40,41,2,82,173,158,123,273,166,44,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,50,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,170,,,,,328
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,,,,,,,,,,,,,,,,,,,,3,,3,,,,,12,12,12,,,,,,3,3,3,,3,,,,55
Israel,,,24,,,,,,,,,,,,,,,,11,7,24,,,15,15,22,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,111,68,,,,5,23,432
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,8,8,8,5,5,3,13,10,8,,72,,39,8,5,8,5,8,3,10,16,10,5,5,,,,,,,,,,,,,,,,263
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,,,9,9,45,69
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,2,7,4,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,12,54,,89
Kuwait,,,,,,,,,,,,,,,,,,,4,4,1,,,,,,,,,,,,,,,,,,4,11,11,11,,,,,11,11,,,,,,,,,,,5,5,9,9,9,9,,,,,,,,115,228
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,6
Lebanon,5,,,,,0,,,,,,,,,,,,,,,,,,11,11,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,,,,,56
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Libya,,,,,,,,,,,,,,,,,,,,,,2,,,7,,120,14,20,94,271,258,169,220,136,82,3,,,,,,,,,,,,,,,,,,,,3,3,,19,19,6,,1,,,,,,,,,1445
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,16,,,,,,,,,,,,,48
Malaysia,,,,,,,,,,,,,,,,,,,,,14,18,14,,,,,,,,,,,31,31,225,,,,,,,,,,,,160,34,164,16,,7,13,17,6,39,,,107,15,,,,,,,,,,,,909
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,18,,,,,,,,,12,,6,,,,,,36
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,,,,7
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,4,4,,10,,,,,,,,21,53,,,,,,,,,,95
Morocco,,,,,,,,,,,,,,,,,,,,26,26,0,,,36,32,35,21,6,60,30,5,50,15,,,,,,,,,,,,,,,,,,,,,,,,,,,32,43,13,8,10,,,,,,,,447
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,2,,,,,,,,,,,,,,14
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,12
Netherlands,,,,,,,45,,,,,,4,13,,,,,,,,,,,,,,,8,8,8,8,5,5,3,3,,,,,,5,3,10,15,3,,,,,,,3,3,3,3,,,,,40,27,27,54,7,35,27,,,,,,371
New Zealand,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,34,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,126
Nigeria,,,,,,,,,,,,,,,,45,45,,,,,,,,,,,,,,21,22,55,6,59,87,18,48,48,,,,11,2,2,,,,,,,8,,8,11,,6,21,,30,24,6,6,,,,,,,6,6,6,602
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3
North Yemen,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Norway,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,28,9,5,12,10,13,10,7,7,7,5,12,30,15,15,204
Oman,,,,,,,,,,,,,,,,,,,,,,24,,,13,13,,,,,,,5,5,5,3,,,,5,,,,,,,3,3,,,,9,,,,,,,,,14,7,,6,3,6,6,,,,,,126
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,7,,,,,,,,,,,3,30,15,,,,,,,,5,6,10,40,50,49,42,,,3,2,50,60,57,91,,12,12,77,112,26,,,774
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,12,,,,,42
Peru,,,,,,,,,,,,,,,,,,,,,,5,,,,,6,6,132,511,18,54,54,3,264,47,3,263,20,,3,30,,,,,,,6,,,,,,,343,172,172,,,,,,,,68,20,16,,,,,2214
Philippines,,,,,,,,,,,,,,,,,,,,,,,,6,5,,7,7,,,,,,,,,,,,4,16,16,,2,19,,,,,,,,,,,,,,,,1,3,,8,,28,,,,,5,5,132
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,4,3,3,,2,14,21,21,28,28,28,25,28,28,29,38,,68,,3,34,,410
Portugal,,,,,,,,48,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,125,13,,,,,22,8,8,,,,,,9,2,,258
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,,,,,,6,30,30,30,12,,,,20,20,,16,320,494
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,32,32,16,16,,16,,,,,,,118
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,45,,,,,,,,54
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Saudi Arabia,,,,,,,,,,,,,,,,,,,35,35,,,,,,,9,,,,5,50,38,76,44,15,,,,,,,,,,,,,,,,,83,,6,,,15,15,15,,,1,,,89,89,48,,,,,667
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Singapore,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,1,,4,20,20,16,,,21,21,,,6,6,16,18,64,,,,,,,,,10,18,13,,40,66,51,26,,,8,6,8,,,464
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,16,16,,,,34
Somalia,,,,,,,,,,,10,,0,,,,,,4,,,,,,,,,,22,40,24,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,124
South Africa,,,,,,,,,,,,,,,,,61,47,9,41,21,52,54,58,69,35,39,51,28,32,18,13,20,16,10,,2,,,,,,,,,,,,,,,,,,,11,25,17,17,14,,,,,,,,,,,,,761
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,10,12,17,5,34,24,2,22,114,53,,,45,,,,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,373
Soviet Union,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
Spain,,,,,,,8,8,8,8,8,9,9,9,9,17,,,,,,,,4,34,,,30,18,54,56,43,3,3,,,3,59,70,70,15,9,9,21,48,6,24,1,21,21,7,32,14,3,21,61,50,54,38,,8,4,3,,,,,,,,,,1006
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Sweden,,,,,,,,,,,,,13,19,8,,10,14,14,14,29,33,,15,5,5,5,,,,,,,,,,,,10,10,,1,,5,20,,,,,,,,,,,,11,22,17,6,,,,,,,,,,,,2,286
