"TIV of arms exports from Canada, 1950-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 28 July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Jamaica,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,5
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,2,4,2,,,,12
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,4,4,,,,,16
Kenya,,,,,,,,,,,,,,,1,15,3,,,,,,8,,,,,40,40,,,,,,,,26,26,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186
Kuwait,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,8
Lebanon,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,4
Malaysia,,,,,,,,,,,,,,,,,15,15,15,47,11,,15,,,,,,,,,,1,11,10,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,3,,,,,,152
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,4
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,27
Mexico,,,,,,,,,,,14,4,,,,,,,,,,,,,,,6,,,1,49,9,5,4,,,15,13,3,3,3,2,1,,,,,,,,,,9,,,,1,,,4,4,12,3,,16,13,13,6,1,,,,211
Morocco,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,,,,,,30
Myanmar,,0,0,,1,,,,,2,2,2,,,,,,,,,,,,,,,,,,6,2,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Netherlands,,,,,,,3,,,,,41,,,,,,,,,,,,,,,,,5,5,10,10,10,10,,,,,,5,,,,,,12,38,2,,,,,,,,,,,,,,,,,,,,,,,,,151
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,4,2,,,,,,,38
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,6,14
North Yemen,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Norway,,,,,,8,57,,,,,,,,,,,13,,,,,,49,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180
Oman,,,,,,,,,,,,,,,,,,,,,11,,,8,,,,,,13,,13,,13,,,,,,,,,,,,,,,,,5,1,,,,,,,4,,,,,4,4,4,4,,,,,,84
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,28
Panama,,,,,,,,,,,,,,,,,,,,,3,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,15
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Peru,2,,,,,,,,,,,,,,,1,8,,,,,116,116,8,,,,3,3,,,,,,,,5,25,,,,5,,,,,,,,,,,,,,,,,,,,3,5,10,15,5,9,2,,,,,337
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,,2,3,,26
